V1	Mix1_1	Placenta_1	Liver_1	Mix2_1	Placenta_2	Mix2_2	Liver_2	Placenta_3	Brain_1	Mix1_2	Brain_2	Mix2_3	Mix1_3	Liver_3
miR-6516-5p	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	NA
miR-6734-3p	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA
miR-6735-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6785-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6834-5p	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	1	NA
miR-6883-3p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6887-5p	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-7158-3p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-744-3p	NA	NA	NA	1	NA	1	NA	NA	5	2	2	1	NA	NA
miR-7706	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-940	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA
miR-100-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1266-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-182-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-202-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-30c-2-3p	NA	NA	NA	NA	1	NA	2	NA	3	1	NA	NA	NA	NA
miR-30d-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3145-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3166	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-373-5p	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-3944-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4277	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4423-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4482-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-4523	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4733-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4789-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-495-5p	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	2	NA
miR-508-3p	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-519a-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-523-5p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-548ak	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-548k	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-548w	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-584-3p	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-6719-3p	NA	NA	NA	NA	1	NA	NA	NA	2	1	NA	NA	NA	NA
miR-6784-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-767-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-767-5p	NA	NA	NA	NA	1	1	NA	NA	3	NA	NA	1	NA	NA
miR-876-5p	NA	NA	NA	NA	1	2	NA	NA	NA	NA	1	NA	NA	NA
miR-96-5p	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA
miR-1179	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	1	NA
miR-1224-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	2	NA	NA
miR-1273g-5p	NA	NA	NA	NA	NA	1	NA	1	3	1	NA	NA	2	2
miR-1294	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-206	NA	NA	NA	NA	NA	1	NA	NA	5	2	4	2	NA	NA
miR-216a-5p	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA
miR-302a-3p	NA	NA	NA	NA	NA	1	NA	NA	2	NA	1	NA	NA	NA
miR-302b-3p	NA	NA	NA	NA	NA	1	NA	NA	2	NA	1	NA	NA	NA
miR-380-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-4423-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-450b-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-4668-5p	NA	NA	NA	NA	NA	1	2	NA	NA	1	NA	NA	NA	NA
miR-4705	NA	NA	NA	NA	NA	1	NA	NA	9	1	2	1	NA	NA
miR-4758-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-488-5p	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA
miR-490-5p	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA
miR-5009-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-513b-5p	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA
miR-513c-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-548b-3p	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA
miR-548d-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-619-5p	NA	NA	NA	NA	NA	1	NA	1	8	1	3	1	1	NA
miR-6515-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-6733-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-6787-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-6832-3p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-6885-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-875-5p	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-10a-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA
miR-1304-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-1304-5p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-200b-5p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-2355-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA
miR-4512	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-4524a-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-4684-5p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-548ai	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA
miR-548aw	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA
miR-548ay-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-570-5p	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA
miR-6774-5p	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
miR-6788-3p	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-6804-5p	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	1
miR-1271-5p	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	1
miR-149-3p	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
miR-203b-3p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
miR-2110	NA	NA	NA	NA	NA	NA	NA	1	3	1	1	NA	NA	NA
miR-3617-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-3664-3p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-3688-3p	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA
miR-371a-3p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4424	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4427	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4676-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA
miR-4719	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
miR-4741	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-507	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
miR-634	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	NA	NA
miR-6501-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-6509-3p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-655-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA
miR-6716-3p	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
miR-6734-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-6846-5p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1207-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1236-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1236-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-1251-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-1256	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1264	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA
miR-1273e	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
miR-1273h-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-128-2-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-1292-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA
miR-1298-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1298-5p	NA	NA	NA	NA	NA	NA	NA	NA	3	1	1	NA	NA	NA
miR-1303	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA
miR-146b-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
miR-153-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-181b-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA
miR-1912	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-208b-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
miR-216b-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-218-1-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-218-2-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA
miR-222-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-2355-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-298	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-302a-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3130-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3150a-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3151-3p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-3173-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3190-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-323b-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3529-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3605-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3619-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3943	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA
miR-4280	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4301	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4433b-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-4459	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA
miR-4461	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-454-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4644	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4647	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4685-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4691-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4700-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4706	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA
miR-4713-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4722-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4742-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4746-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4761-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-4776-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-4796-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA
miR-486-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5009-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5010-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	1	NA
miR-504-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-548ah-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-548ao-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-548aq-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA
miR-548ay-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-548d-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-550a-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-550b-2-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-552-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5580-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5585-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5586-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5586-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA
miR-568	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
miR-5683	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5684	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-5706	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-618	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA
miR-642a-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-642b-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-6499-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-6505-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6510-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-659-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-670-3p	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
miR-6721-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6726-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6726-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6747-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-6754-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6764-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6769a-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6770-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6777-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6794-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6795-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6796-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6804-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA
miR-6827-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6856-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6875-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-6882-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-708-3p	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	NA	NA
miR-7152-5p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-760	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-766-5p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-7851-3p	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-802	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-8077	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-922	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-937-3p	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-1268b	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-1305	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-1911-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-3177-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-4473	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-4732-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-4775	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-548ae	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA
miR-597-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA
miR-614	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-629-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-6728-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-6820-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-6839-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-6877-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-6894-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-765	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-7978	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-942-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
miR-1199-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1225-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1277-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1285-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1287-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-147b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1911-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-2277-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3117-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3156-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3180-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3194-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3682-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-4668-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-4760-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-4787-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1
miR-4788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-5090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-548au-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-548j-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1
miR-6505-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6514-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-656-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6729-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6742-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6748-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6756-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6786-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6795-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6802-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6824-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-6855-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-873-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-877-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA
miR-203b-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-3154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-328-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-33b-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-4645-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
miR-487b-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-548au-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-548v	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-5584-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-605-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-1267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-1286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-186-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-191-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-3129-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-4326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
